label	level	kind	unit	evidence	definition	aliases	man
pointer	1	noțiune	lab05	lab05#notiunea_de_pointer,lab05#operatorul_de_dereferentiere	Variabilă care reține o adresă de memorie: adresa unor date de un anumit tip, a unei funcții, a unei alte adrese sau a unei zone cu conținut necunoscut (void *).	pointeri;pointerul;pointerului;indicator	
adresă de memorie	1	noțiune	lab05	lab05#notiunea_de_pointer,lab05#operatorul_de_referentiere	Număr care identifică o locație din memorie; valoarea unui pointer este o astfel de adresă, obținută de exemplu cu operatorul & aplicat unei variabile.	adresa;adrese de memorie;adresă	
operatorul de referențiere	1	operator	lab05	lab05#operatorul_de_referentiere,lab05#studiu_de_caz	Operatorul & se aplică unei variabile de orice tip și obține adresa din memorie a variabilei respective.	operatorul &;operatorul adresă;operatorul de adresare;referențiere	
operatorul de dereferențiere	1	operator	lab05	lab05#operatorul_de_dereferentiere,lab05#particularitati	Operatorul * aplicat unui pointer obține valoarea stocată la adresa indicată; pointerul trebuie să indice o adresă validă, la care programul are acces.	operatorul *;dereferențiere;dereferențierea	
declarația unui pointer	1	noțiune	lab05	lab05#particularitati,lab05#operatorul_de_dereferentiere	Declarația de forma tip *nume; operatorul * se asociază numelui variabilei, nu tipului, deci în int *a, *b fiecare pointer are propriul *. Declararea nu alocă memorie pentru date.	declarații de pointeri;declararea unui pointer	
pointer neinițializat	1	eroare	lab05	lab05#particularitati,lab05#operatorul_de_dereferentiere	Pointer declarat căruia nu i s-a atribuit o adresă validă; dereferențierea lui (de ex. *a = 1) este o operație nevalidă, cu efecte imprevizibile.	pointeri neinițializați;pointer neinitializat	
NULL	1	noțiune	lab05	lab05#operatorul_de_dereferentiere,lab06#alocarea_memoriei	Constantă compatibilă cu orice tip de pointer, reprezentând adresa 0, nevalidă prin convenție; indică un pointer neinițializat și este rezultatul funcțiilor de alocare când acestea eșuează.	pointer nul;constanta NULL	
inițializarea pointerilor cu NULL	1	bună practică	lab05	lab05#operatorul_de_dereferentiere	Este indicat ca pointerii să fie inițializați cu NULL, pentru a marca explicit faptul că nu indică încă o zonă validă de memorie.	inițializarea pointerilor	
pointer la void	1	tip de date	lab05	lab05#notiunea_de_pointer,lab05#particularitati	Pointer (void *) către o zonă cu conținut necunoscut; nu poate fi dereferențiat sau folosit în aritmetică direct, ci doar după conversia la un pointer către un tip de date.	void *;void*;pointer către void;pointeri la void	
cast	2	operator	lab05	lab05#particularitati,lab05#interpretarea_diferita_a_datelor_din_memorie	Conversie explicită de tip, scrisă (tip) expresie, de exemplu (int *)var; permite folosirea unui void * ca pointer la un tip, dar e o operație validă și riscantă.	conversie explicită;conversie de tip;operatorul cast	
dimensiunea unui pointer	2	noțiune	lab05	lab05#notiunea_de_pointer,lab05#pointeri_la_tablouri	Depinde de arhitectură și sistemul de operare și se află cu sizeof(void *); nu este neapărat egală cu dimensiunea unui întreg.	sizeof(void *);dimensiunea pointerului	
reinterpretarea datelor din memorie	3	tehnică	lab05	lab05#interpretarea_diferita_a_datelor_din_memorie	Citirea aceleiași zone de memorie ca alt tip, prin cast între tipuri de pointeri, de ex. *((short*)&n) extrage primul cuvânt dintr-un int.	interpretarea diferită a datelor din memorie	
aritmetică cu pointeri	1	noțiune	lab05	lab05#aritmetica_cu_pointeri,lab05#pointeri_la_tablouri	Adunarea/scăderea unui întreg la un pointer și incrementarea/decrementarea lui; lucrează în multipli de dimensiunea tipului referit (p + 5 avansează cu 5 * sizeof(tip) octeți).	aritmetica cu pointeri;calcul de pointeri;calculul cu pointeri	
echivalența dintre vector și pointer	1	noțiune	lab05	lab05#pointeri_la_tablouri,lab07#siruri_de_caractere	Numele unui vector este adresa primei componente, deci echivalent cu un pointer la tipul elementelor: a[k] <==> *(a + k) și &a[k] <==> a + k.	pointeri la tablouri;pointeri și tablouri;echivalentă cu un pointer	
pointer constant	2	noțiune	lab05	lab05#pointeri_la_tablouri	Numele unui vector se comportă ca un pointer constant: adresa lui e fixată de compilator și nu poate apărea în stânga unei atribuiri (a = p; ++a; sunt erori).	numele vectorului	
indirectare	2	tehnică	lab05	lab05#pointeri_la_tablouri	Accesul la elementele unui vector prin dereferențierea unui pointer (*a++ sau *(a + i)), ca alternativă la indexarea cu [].	indirectarea;prin indirectare	
sizeof pentru vector și pointer	2	noțiune	lab05	lab05#pointeri_la_tablouri	Pentru un vector T v[N], sizeof(v) este N * sizeof(T), iar pentru un pointer T *v, sizeof(v) este doar dimensiunea unui pointer, sizeof(T *).	sizeof(v)	
pointer la pointer	2	tip de date	lab05	lab05#notiunea_de_pointer,lab05#studiu_de_caz,lab06#lab-exercitii	Pointer care reține adresa unui alt pointer (de ex. int **); folosit pentru matrice alocate dinamic și pentru funcții care modifică un pointer primit ca parametru.	pointeri către pointeri;adresa unei adrese;int **;dublu pointer	
parametru de tip pointer	1	tehnică	lab05	lab05#pointeri_in_functii,lab05#lab-exercitii	O funcție care trebuie să modifice argumente sau să transmită mai multe rezultate primește adresele acestora (argumente de tip pointer) și le modifică prin dereferențiere.	argumente de tip pointer;transmiterea de rezultate prin argumente;transmitere prin adresă	
interschimbare prin pointeri	1	tehnică	lab05	lab05#lab-exercitii	Funcția swap primește adresele celor două variabile (swap_int(&p, &q)) și schimbă valorile prin dereferențiere; cu parametri prin valoare schimbarea s-ar pierde.	swap_int;swap_ptr;interschimbă două variabile;swap	
pointer returnat de funcție	2	noțiune	lab05	lab05#pointeri_in_functii,lab05#pointeri_la_tablouri	O funcție poate avea ca rezultat un pointer (dar nu un vector); acesta nu trebuie să conțină adresa unei variabile locale, ci de obicei a unui argument sau a unei zone alocate dinamic.	rezultat pointer;rezultatul pointer	
dangling pointer	1	eroare	lab05	lab05#pointeri_in_functii,lab06#practici_recomandate	Pointer care indică o zonă a cărei valabilitate a încetat, de ex. adresa unei variabile locale returnată din funcție sau memorie deja eliberată; folosirea lui dă rezultate imprevizibile.	pointer invalid;pointer agățat;adresa unei variabile locale;valabilitatea acestora încetează	
pointer la funcție	1	tip de date	lab05	lab05#studiu_de_caz,lab05#notiunea_de_pointer	Pointer care reține adresa unei funcții, declarat tip (*pf)(lista_arg); permite apelul unei funcții cu nume necunoscut dar prototip cunoscut, ca în listf(sin, ...).	pointeri la funcții;pointer la o funcție;pointer către funcție	
numele funcției ca pointer	2	noțiune	lab05	lab05#studiu_de_caz	Numele unei funcții fără paranteze și argumente este interpretat ca un pointer către funcția respectivă, fără a folosi operatorul &.	numele unei funcții	
apelarea unei funcții fără paranteze	2	eroare	lab05	lab05#studiu_de_caz	Eroare care trece de compilare: scriind if (kbhit) în loc de if (kbhit()), se folosește adresa funcției (mereu nenulă), iar funcția nu este apelată.	apel fără paranteze	
expresii complexe cu pointeri	3	tehnică	lab05	lab05#studiu_de_caz	Declarații ca char *(*(*x)())[10] se citesc din interior spre exterior, ținând cont că () și [] au precedență față de *.	declarații complexe;expresii complexe	
const	2	cuvânt cheie	lab05	lab05#lab-exercitii,lab07#strcpy	Calificator care marchează o zonă ca nemodificabilă; const void *src sau const char *source arată că funcția doar citește din sursă.	zonă constantă de memorie	
endianness	3	noțiune	lab05	lab05#lab-exercitii	Ordinea octeților unui întreg în memorie: big-endian (primul octet este cel mai semnificativ) sau little-endian (primul octet este cel mai puțin semnificativ).	big-endian;little-endian	
funcție generică cu void *	3	tehnică	lab05	lab05#lab-exercitii,lab06#problemset	Funcție care lucrează pe octeți prin parametri void * și o dimensiune (ca my_memcpy sau my_memset), putând fi folosită pentru date de orice tip.	my_memcpy;my_memset;implementarea generică	
alocare dinamică	1	noțiune	lab06	lab06#vectori_alocati_dinamic,lab06#studiu_de_caz,lab06#obiective	Rezervarea memoriei la execuție, în heap, la cererea explicită a programatorului (malloc, calloc, realloc); memoria se eliberează tot explicit, cu free.	alocarea dinamică a memoriei;alocat dinamic;alocare dinamica	
stdlib.h	1	fișier antet	lab06	lab06#functii_de_alocare_si_eliberare_a_memoriei	Fișierul antet standard în care sunt declarate funcțiile de alocare și eliberare a memoriei: malloc, calloc, realloc și free.	<stdlib.h>	stdlib.h(0p)
malloc	1	funcție de bibliotecă	lab06	lab06#functii_de_alocare_si_eliberare_a_memoriei,lab06#alocarea_memoriei,lab06#exemplu	Alocă o zonă de size octeți și întoarce adresa ei (void *), sau NULL dacă alocarea eșuează; zona nu este inițializată.	malloc()	malloc(3)
calloc	1	funcție de bibliotecă	lab06	lab06#exemplu1,lab06#functii_de_alocare_si_eliberare_a_memoriei	Alocă memorie pentru nmemb elemente de câte size octeți și o inițializează cu zero; primește lungimea vectorului și dimensiunea unui element.	calloc()	calloc(3)
realloc	1	funcție de bibliotecă	lab06	lab06#exemplu1,lab06#exemplu2	Redimensionează o zonă alocată: alocă noua dimensiune, copiază datele vechi și eliberează zona veche; la eșec întoarce NULL și lasă pointerul inițial nemodificat.	realloc()	realloc(3)
free	1	funcție de bibliotecă	lab06	lab06#eliberarea_memoriei,lab06#practici_recomandate	Eliberează zona de memorie de la adresa primită, alocată anterior cu malloc, calloc sau realloc; dimensiunea nu trebuie specificată.	free()	free(3)
size_t	2	tip de date	lab06	lab06#alocarea_memoriei,lab07#strlen	Tip întreg fără semn folosit pentru dimensiuni în octeți, de exemplu argumentul lui malloc sau rezultatul lui strlen.		
dimensiune în octeți la alocare	1	bună practică	lab06	lab06#exemplu,lab06#alocarea_memoriei	Funcțiile de alocare primesc dimensiunea în octeți, deci numărul de elemente se înmulțește cu dimensiunea unui element: malloc(n * sizeof(int)).	n * sizeof(int);specificată în octeți	
verificarea rezultatului alocării	1	bună practică	lab06	lab06#practici_recomandate,lab06#exemplu2	Rezultatul funcțiilor de alocare trebuie comparat cu NULL chiar pentru dimensiuni mici, iar cazul de eșec tratat explicit (de obicei prin închiderea curată a programului).	rezultatul funcțiilor de alocare;v == NULL	
overflow la calculul dimensiunii	3	eroare	lab06	lab06#exemplu1	Înmulțirea dintre numărul de elemente și dimensiunea tipului poate depăși capacitatea tipului, alocând mai puțină memorie decât se aștepta; calloc oferă o măsură de siguranță.	overflow	
realocare prin pointer auxiliar	1	bună practică	lab06	lab06#exemplu1,lab06#exemplu2	Rezultatul lui realloc se reține într-un pointer auxiliar și se atribuie pointerului original doar dacă e diferit de NULL, altfel adresa veche s-ar pierde.	aux = realloc;tmp = realloc	
memory leak	1	eroare	lab06	lab06#practici_recomandate,lab08#lab-exercitii	Memorie alocată dinamic care nu mai este eliberată cu free; încetinește sistemul și produce erori greu de depistat. Se poate verifica cu valgrind.	memory leak-uri;scurgere de memorie;memoria rămasă neeliberată	
eliberarea memoriei alocate dinamic	1	bună practică	lab06	lab06#practici_recomandate,lab06#exemplu2	Fiecare zonă alocată dinamic trebuie eliberată cu free când nu mai este necesară, o singură dată, iar pointerul nu mai trebuie folosit după aceea.	eliberați memoria alocată dinamic;eliberăm memoria	
verificarea validității pointerilor	1	bună practică	lab06	lab06#practici_recomandate,lab05#operatorul_de_dereferentiere	Înainte de folosire, un pointer trebuie să indice o adresă de memorie validă; adresarea unei zone aleatoare sau NULL are consecințe imprevizibile.	adrese de memorie valide;adresă de memorie validă	
formatarea declarațiilor de pointeri	2	bună practică	lab06	lab06#practici_recomandate,lab05#particularitati	Se scrie * lângă numele variabilei (int *a, *b), nu lângă tip (char* a, b e înșelător: doar a e pointer).	asocierea operatorului * cu variabila;formatarea codului	
vector alocat dinamic	1	tehnică	lab06	lab06#vectori_alocati_dinamic,lab06#exemplu2	Vector a cărui dimensiune se află la execuție și pentru care memoria se alocă cu malloc/calloc; se folosește la fel ca un vector cu dimensiune fixă.	vectori alocați dinamic;vector dinamic;vector alocat dinamic	
vector extensibil	2	tehnică	lab06	lab06#exemplu2,lab06#problemset,lab08#problemset	Vector realocat cu realloc pe măsură ce se umple, când numărul de elemente nu e cunoscut dinainte; se țin separat capacitatea alocată și numărul de elemente folosite.	resizable array;capacity;vector realocat dinamic	
dublarea capacității	3	tehnică	lab06	lab06#problemset,lab08#problemset	Strategie de realocare în care capacitatea vectorului se dublează când acesta e plin, reducând numărul de apeluri realloc față de creșterea cu câte un element.	dublati capacitatea;dublează capacitatea	
matrice alocată dinamic	1	tehnică	lab06	lab06#matrice_alocate_dinamic,lab06#exemplu3	Se alocă un vector de pointeri (câte unul pe linie), apoi fiecare linie; a[i][j] este echivalent cu *(*(a + i) + j). Eliberarea se face întâi pe linii, apoi vectorul de pointeri.	matrice alocate dinamic;matrice dinamică;int **a	
vector de pointeri	2	tip de date	lab06	lab06#matrice_alocate_dinamic,lab06#exemple_de_programe	Vector ale cărui elemente sunt adrese, de ex. adresele liniilor unei matrice dinamice sau ale unor șiruri (char *vp[]).	vectorul de pointeri;vector de pointeri la șiruri	
matrice cu linii de lungimi diferite	2	tehnică	lab06	lab06#matrice_alocate_dinamic,lab06#lab-exercitii	Matrice alocată dinamic în care fiecare linie are propriul număr de elemente (ragged array), posibilă deoarece fiecare linie e alocată separat.	ragged arrays;ragged array;număr variabil de elemente	
vector de vectori	3	noțiune	lab06	lab06#exemplu3,lab06#lab-exercitii	Reprezentarea unei matrice statice (int x[][2]), liniară în memorie; nu poate fi transmisă ca int **, deoarece nu conține un vector de pointeri.	matrice statică;alocate continuu	
matrice stocată contiguu	3	tehnică	lab06	lab06#problemset	Matrice n x m alocată ca un singur vector de n * m elemente, elementul (i, j) aflându-se la poziția i * m + j.	stocată contiguu;contiguu	
eliberarea unei matrice	2	tehnică	lab06	lab06#lab-exercitii,lab06#exemplu3	O matrice alocată ca vector de pointeri se eliberează apelând free pentru fiecare linie și apoi pentru vectorul de pointeri.	free_matrix;eliberarea unei matrice	
separarea alocării de citire	2	bună practică	lab06	lab06#observatie	Pentru matrice se preferă o funcție pentru alocare și alta pentru citire, în locul unei singure funcții care face ambele.	funcție specializată pentru alocare	
heap	1	noțiune	lab06	lab06#studiu_de_caz	Zona de memorie a programului din care se face alocarea dinamică; memoria de aici se alocă și se eliberează doar la cerere explicită.	zona heap;memoria heap	
stivă	1	noțiune	lab06	lab06#studiu_de_caz	Zona de memorie în care se alocă automat variabilele locale și argumentele la activarea unei funcții și se eliberează la terminarea ei; consumul crește cu apelurile recursive.	stiva;stack;zona stivă	
alocare automată	2	noțiune	lab06	lab06#studiu_de_caz	Mod de alocare pentru variabilele locale și argumentele formale (clasa auto): memoria se ia de pe stivă la activarea funcției și se eliberează la ieșire.	auto;automat;clasa auto	
alocare statică	2	noțiune	lab06	lab06#studiu_de_caz	Memorie alocată la compilare în segmentul de date, nemodificabilă la execuție; variabilele externe și cele locale declarate static, inițializate implicit cu zero.	segmentul de date	
register	3	cuvânt cheie	lab06	lab06#studiu_de_caz	Clasă de memorare care cere, teoretic, păstrarea variabilei într-un registru al procesorului; compilatoarele moderne o ignoră și optimizează singure.	clasa register	
strdup	2	funcție de bibliotecă	lab07	lab07#strdup,lab06#exemple_de_programe	Creează o copie a unui șir, alocând dinamic strlen() + 1 octeți; memoria rezultată trebuie eliberată de programator cu free.	strdup();mystrdup	strdup(3)
fputs	3	funcție de bibliotecă	lab06	lab06#exemple_de_programe	Scrie un șir de caractere într-un flux, de exemplu fputs(d, stdout), fără a adăuga linie nouă.		fputs(3)
vector de pointeri la șiruri	2	tehnică	lab06	lab06#exemple_de_programe,lab07#lab-exercitii	Colecție de cuvinte reținută ca vector de char *, fiecare șir fiind alocat dinamic; sortarea se face interschimbând doar pointerii.	vector de stringuri;char **v;char *vp[]	
șir de caractere	1	tip de date	lab07	lab07#siruri_de_caractere,lab07#obiective	Vector de caractere terminat prin caracterul '\0'; se poate declara ca vector (char c[] = "cuvant") sau folosi prin pointer la char.	șiruri de caractere;string;stringuri;șirul	
terminator de șir	1	noțiune	lab07	lab07#siruri_de_caractere,lab07#strlen	Caracterul '\0' (0 binar) care marchează sfârșitul unui șir; trebuie să încapă în vector, deci "cuvant" ocupă 7 octeți.	terminatorul de șir;\0;'\0';caracterul terminator	
spațiu pentru terminator	1	bună practică	lab07	lab07#siruri_de_caractere,lab07#memcpy,lab06#exemple_de_programe	La alocarea sau copierea unui șir se rezervă un octet în plus pentru '\0' (malloc(len + 1), memcpy(..., strlen(s) + 1)); fără el rezultatele sunt neașteptate.	len + 1;strlen(str1) + 1;strlen(sir) + 1	
șir literal	2	noțiune	lab07	lab07#siruri_de_caractere	Text între ghilimele ("unsir"); prin char *b = "unsir" compilatorul îl plasează într-o zonă de memorie fără drepturi de scriere.	ghilimele;literal șir	
modificarea unui șir literal	2	eroare	lab07	lab07#siruri_de_caractere	Scrierea într-un șir declarat char *b = "..." încearcă să modifice o zonă fără drepturi de scriere și, pe Linux, produce de obicei segmentation fault.	drepturi de scriere	
%s	1	specificator de format	lab07	lab06#exemple_de_programe,lab07#siruri_de_caractere	Specificatorul pentru șiruri: la printf afișează până la '\0', la scanf citește un cuvânt (se oprește la whitespace).	specificatorul %s	
gets	1	funcție de bibliotecă	lab07	lab07#siruri_de_caractere,lab07#strlen	Citește o linie de la intrarea standard fără a ține cont de dimensiunea zonei, putând suprascrie memoria de după ea; nu trebuie folosită, se înlocuiește cu fgets.	gets()	gets(3)
puts	1	funcție de bibliotecă	lab07	lab07#siruri_de_caractere,lab07#memset	Afișează un șir până la '\0', în locul căruia scrie un caracter sfârșit de linie.	puts()	puts(3)
fgets	1	funcție de bibliotecă	lab07	lab07#siruri_de_caractere,lab07#lab-exercitii	fgets(zona, lung_zona, stdin) citește cel mult lung_zona - 1 caractere dintr-o linie, păstrând și '\n' dacă încape; e varianta sigură pentru gets.	fgets()	fgets(3)
buffer overflow	1	eroare	lab07	lab07#lab-exercitii,lab07#siruri_de_caractere,lab07#strcat	Scrierea dincolo de capătul zonei alocate (de ex. cu gets sau strcat fără spațiu suficient), care suprascrie alte date și poate bloca programul.	depășirea bufferului;depasim bufferul;depășire de buffer	
string.h	1	fișier antet	lab07	lab07#functii_din_stringh,lab07#obiective	Fișierul antet standard cu funcțiile de manipulare a șirurilor și a zonelor de memorie (strlen, strcpy, strcmp, memcpy etc.).	<string.h>	string.h(0p)
strlen	1	funcție de bibliotecă	lab07	lab07#strlen	Returnează lungimea unui șir, adică numărul de caractere până la terminatorul '\0' (fără acesta).	strlen()	strlen(3)
memset	2	funcție de bibliotecă	lab07	lab07#memset	Setează primii num octeți de la adresa ptr la valoarea val; lucrează pe octeți, deci pentru vectori de int e sigur doar cu 0.	memset()	memset(3)
memmove	3	funcție de bibliotecă	lab07	lab07#memmove	Copiază num octeți ca printr-un buffer intermediar, deci sursa și destinația se pot suprapune; nu ține cont de '\0'.	memmove()	memmove(3)
memcpy	2	funcție de bibliotecă	lab07	lab07#memcpy	Copiază num octeți de la sursă la destinație, fără a ține cont de '\0'; pentru șiruri se copiază strlen + 1 octeți.	memcpy()	memcpy(3)
strcpy	1	funcție de bibliotecă	lab07	lab07#strcpy,lab07#strncpy	Copiază șirul sursă în destinație, inclusiv '\0'; destinația trebuie să aibă spațiu suficient și este suprascrisă.	strcpy()	strcpy(3)
strncpy	2	funcție de bibliotecă	lab07	lab07#strncpy	Copiază cel mult primele num caractere din sursă; dacă sursa e mai lungă, '\0' nu se adaugă și trebuie pus manual.	strncpy()	strncpy(3)
strcat	1	funcție de bibliotecă	lab07	lab07#strcat,lab07#strncat	Concatenează șirul sursă la finalul destinației; destinația trebuie să aibă memorie suficientă pentru rezultat.	strcat()	strcat(3)
strncat	2	funcție de bibliotecă	lab07	lab07#strncat	Ca strcat, dar concatenează cel mult primele num caractere din sursă.	strncat()	strncat(3)
strcmp	1	funcție de bibliotecă	lab07	lab07#strcmp,lab06#exemple_de_programe	Compară două șiruri caracter cu caracter și returnează 0 dacă sunt identice, o valoare pozitivă dacă primul e mai mare lexicografic, negativă altfel.	strcmp()	strcmp(3)
strchr	2	funcție de bibliotecă	lab07	lab07#strchr	Caută un caracter într-un șir și returnează un pointer la prima apariție sau NULL.	strchr()	strchr(3)
strrchr	3	funcție de bibliotecă	lab07	lab07#strrchr	Caută un caracter într-un șir și returnează un pointer la ultima apariție sau NULL.	strrchr()	strrchr(3)
strstr	2	funcție de bibliotecă	lab07	lab07#strstr	Caută un subșir într-un șir și returnează un pointer la prima apariție sau NULL.	strstr()	strstr(3)
strtok	2	funcție de bibliotecă	lab07	lab07#strtok,lab07#lab-exercitii	Împarte un șir în tokeni prin apeluri succesive: primul apel primește șirul, următoarele NULL; returnează NULL la final și modifică șirul inițial.	strtok()	strtok(3)
token	3	noțiune	lab07	lab07#strtok	Subșir obținut prin împărțirea unui șir după o listă de caractere delimitatori, de exemplu cuvintele unei propoziții.	tokens;tokeni;delimitatori	
ordine lexicografică	2	noțiune	lab07	lab07#strcmp,lab05#problemset	Ordinea „de dicționar” a șirurilor, comparând codurile caracterelor pe rând; '\0' e mai mic decât orice alt caracter.	lexicografic;alfabetic	
zone de memorie suprapuse	3	noțiune	lab07	lab07#memmove	Situația în care sursa și destinația unei copieri au porțiuni comune; memmove o tratează corect.	suprapune;suprapunere	
ctype.h	2	fișier antet	lab07	lab07#problemset	Fișierul antet cu funcții de clasificare și conversie a caracterelor (islower, isupper, tolower, toupper).	<ctype.h>	ctype.h(0p)
tolower	2	funcție de bibliotecă	lab07	lab07#problemset	Returnează litera mică corespunzătoare unui caracter literă mare; celelalte caractere rămân neschimbate.		tolower(3)
toupper	2	funcție de bibliotecă	lab07	lab07#problemset	Returnează litera mare corespunzătoare unui caracter literă mică; celelalte caractere rămân neschimbate.		toupper(3)
islower	2	funcție de bibliotecă	lab07	lab07#problemset	Testează dacă un caracter este literă mică (rezultat nenul dacă da).		islower(3)
isupper	2	funcție de bibliotecă	lab07	lab07#problemset	Testează dacă un caracter este literă mare (rezultat nenul dacă da).		isupper(3)
structură	1	tip de date	lab08	lab08#structuri,lab08#obiective	Tip de date definit de utilizator care grupează mai multe variabile (câmpuri), eventual de tipuri diferite, spre deosebire de vectori.	struct;structuri;structura	
câmp	1	noțiune	lab08	lab08#structuri	Variabilă declarată în interiorul unei structuri sau uniuni (membru), accesată cu operatorul . sau ->.	câmpuri;campurile;membru;membrii	
operatorul de acces la membru	1	operator	lab08	lab08#structuri	Operatorul . accesează un câmp al unei variabile de tip structură sau uniune, de ex. s1.an = 3.	accesul la membrii;operatorul punct;operatorul .	
operatorul săgeată	1	operator	lab08	lab08#structuri,lab08#diferenta_dintre_copierea_structurilor_si_copierea_pointerilor	Operatorul -> accesează un câmp prin pointer la structură: stud->medie este echivalent cu (*stud).medie.	->	
pointer la structură	1	tip de date	lab08	lab08#structuri,lab08#diferenta_dintre_copierea_structurilor_si_copierea_pointerilor	Pointer care reține adresa unei structuri; memoria pentru structură trebuie alocată (sau pointerul legat de o variabilă) înainte de a accesa câmpurile.	pointeri la structuri;pointerilor la structuri	
typedef	1	cuvânt cheie	lab08	lab08#structuri,lab08#uniuni	Asociază un nume nou unui tip, de ex. typedef struct student Student;, simplificând declarațiile.	redenumire de tip;redenumirea de tip	
eticheta structurii	3	noțiune	lab08	lab08#structuri	Numele de după struct (structure tag); fără typedef tipul se folosește ca struct nume, iar o structură fără tag urmată de un nume declară doar o variabilă.	structure tag	
inițializarea structurilor	2	tehnică	lab08	lab08#structuri	O variabilă structură se poate inițializa la declarare cu o listă de valori între acolade, în ordinea câmpurilor: struct student s1 = {"Popescu Ionel", 3, 9.25}.	struct student s1 = {;inițializarea unor variabile de tip structură	
atribuirea structurilor	2	noțiune	lab08	lab08#structuri,lab08#diferenta_dintre_copierea_structurilor_si_copierea_pointerilor	Atribuirea n2 = n1 între structuri copiază bit cu bit toate câmpurile; câmpurile pointer ajung să indice aceeași zonă.	atribuirile de structuri;copierea structurilor;atribuirea de structuri	
copiere superficială	2	eroare	lab08	lab08#diferenta_dintre_copierea_structurilor_si_copierea_pointerilor	La atribuirea unei structuri cu câmpuri pointer se copiază doar adresele, deci două structuri partajează același șir: modificarea unuia se vede și în celălalt.	shallow copy;copierea pointerilor	
copiere profundă	2	tehnică	lab08	lab08#lab-exercitii,lab08#diferenta_dintre_copierea_structurilor_si_copierea_pointerilor	Copierea unei structuri în care și zonele indicate de câmpurile pointer se alocă și se copiază separat (de ex. cu strdup), astfel încât copia e independentă.	deep copy;copierea unei structuri	
vector de structuri	1	tip de date	lab08	lab08#structuri,lab08#lab-exercitii	Vector ale cărui elemente sunt structuri (struct complex v[10]), folosit de ex. pentru o listă de studenți.	struct complex v[10];listă de n studenți	
