label	level	kind	unit	evidence	definition	aliases	man
program	2	noțiune	lab01	lab01#introducere	Înșiruire de instrucțiuni pe care calculatorul le urmează întocmai pentru a îndeplini o sarcină; când calculatorul urmează aceste instrucțiuni, spunem că execută programul.	programul;programe	
compilare	1	noțiune	lab01	lab01#introducere,lab01#utilizare_gcc	Traducerea programului din limbajul de programare în cod-mașină, făcută de un compilator; rezultatul poate fi executat direct de calculator (spre deosebire de interpretare).	compilarea;compilează;compila	
compilator	1	unealtă	lab01	lab01#introducere,lab01#compilatorul_gcc	Program care traduce codul sursă scris într-un limbaj de programare în cod-mașină; la PCLP se folosește compilatorul GCC.	compilatorul;compiler;compilatoare	
gcc	1	unealtă	lab01	lab01#compilatorul_gcc,lab01#utilizare_gcc,vm-setup#instalare_utilitare_compilare	GNU Compiler Collection, compilatorul folosit la laborator și la teme; se apelează din linia de comandă, ex. `gcc hello.c`, cu opțiuni pentru ieșire, avertismente, biblioteci etc.	GCC;GNU Compiler Collection;GNU C Compiler	gcc(1)
fișier sursă	1	noțiune	lab01	lab01#utilizare_gcc,lab03#clase_de_stocare_fisiere_antet_vs_biblioteci	Fișierul text (cu extensia .c) care conține codul programului și care este dat compilatorului, ex. `hello.c`.	fișierul sursă;fișiere sursă;cod sursă;codul sursă	
fișier obiect	2	noțiune	lab03	lab01#utilizare_gcc,lab03#clase_de_stocare_fisiere_antet_vs_biblioteci	Fișier (.o) generat din fiecare fișier sursă, care conține codul compilat al funcțiilor sale; fișierele obiect sunt apoi legate într-un executabil.	fișiere obiect;fișierul obiect;fișierele obiect	
fișier executabil	1	noțiune	lab01	lab01#utilizare_gcc,lab03#clase_de_stocare_fisiere_antet_vs_biblioteci	Fișierul rezultat în urma compilării și link-editării, care poate fi rulat (ex. `./a.out`); trebuie să conțină definițiile tuturor funcțiilor folosite.	executabil;executabilul;fișiere executabile	
link-editare	2	noțiune	lab03	lab01#exemplu,lab03#clase_de_stocare_fisiere_antet_vs_biblioteci	Etapa în care editorul de legături caută definițiile funcțiilor apelate în fișierele obiect și biblioteci și construiește un singur fișier executabil.	link-editarea;editarea legăturilor;link-area;linking;link-editează	
bibliotecă	2	noțiune	lab03	lab03#clase_de_stocare_fisiere_antet_vs_biblioteci,read-docs#ce_este_o_biblioteca_dar_un_framework_dar_un_api	Colecție de cod reutilizabil; în C, fișiere obiect speciale care conțin definițiile funcțiilor oferite (ex. biblioteca matematică), integrate în executabil la link-editare.	biblioteca;biblioteci;bibliotecile;library	
avertisment	1	noțiune	lab01	lab01#utilizare_gcc,vm-setup#vm_vmchecker	Mesaj al compilatorului care semnalează cod suspect, dar care nu oprește compilarea; la compilarea cu -Wall nu ar trebui să apară niciun avertisment.	avertismente;avertismentele;warning;warnings	
eroare de compilare	1	eroare	lab01	lab01#interactiunea_program-utilizator,good-practices#cand_ar_trebui_sa_am_un_parametru_declarat_const_intr-o_functie	Eroare detectată de compilator (ex. sintaxă greșită, tipuri incompatibile) din cauza căreia nu se generează executabilul.	erori de compilare;compilatorul va returna o eroare	
-o	1	opțiune de compilare	lab01	lab01#utilizare_gcc,lab01#exemplu	Opțiune gcc care stabilește numele fișierului de ieșire (ex. `gcc -o tema1 tema1.c`); atenție să nu puneți imediat după ea un fișier sursă, altfel acesta e suprascris.		gcc(1)
-Wall	1	opțiune de compilare	lab01	lab01#utilizare_gcc,lab01#exemplu	Opțiune gcc care afișează toate avertismentele uzuale; un program corect ar trebui să compileze cu -Wall fără niciun avertisment.	Wall	gcc(1)
-lm	2	opțiune de compilare	lab01	lab01#exemplu,lab01#utilitarul_make	Opțiune gcc (forma -l nume_bibliotecă) care link-editează biblioteca matematică m, necesară pentru funcțiile declarate în math.h.	biblioteca matematică;biblioteca de funcții matematice	gcc(1)
compilarea mai multor fișiere sursă	2	tehnică	good-practices	good-practices#exemplu,lab03#problemset	Se dau lui gcc toate fișierele .c ale programului (fără fișierele antet), ex. `gcc main.c vector.c -o main`; fiecare devine fișier obiect, apoi se leagă într-un executabil.	toate fișierele .c necesare;compilați fișierele împreună	
make	2	unealtă	lab01	lab01#utilitarul_make,vm-setup#instalare_utilitare_compilare	Utilitar care determină automat ce părți ale unui proiect trebuie recompilate după modificări (pe baza timpilor de modificare) și rulează comenzile descrise în Makefile.	utilitarul make;Make;GNU Make	make(1)
Makefile	2	noțiune	lab01	lab01#utilitarul_make	Fișier folosit de make care descrie dependențele dintre fișierele programului și regulile (comenzile) de actualizare; comenzile unei reguli se indentează obligatoriu cu tab, nu cu spații.	makefile;fișier makefile	
editor de cod	2	unealtă	lab01	lab01#editoare,vm-setup#instalare_editoare_de_cod	Program în care se scriu sursele; se poate folosi orice editor de text, în mod text (Vim, Emacs, nano) sau cu interfață grafică (Visual Studio Code, Sublime Text etc.).	editor de text;editoare de cod;editoare;editorul de text	
terminal	1	unealtă	lab01	lab01#utilizare_gcc,read-docs#exemple_de_documentatii,vm-setup#visual_studio_code	Interfața în mod text (linia de comandă) în care se rulează comenzi precum gcc, make, man sau programul compilat.	terminalul;linia de comandă;linie de comandă	
mașină virtuală	3	unealtă	vm-setup	vm-setup#vm_local	Calculator emulat (ex. în VMware sau VirtualBox) în care rulează Linux; echipa PCLP oferă o mașină virtuală gata configurată.	mașina virtuală;VM;mașini virtuale	
pagină de manual	2	unealtă	read-docs	read-docs#exemple_de_documentatii,lab01#utilizare_gcc,read-docs#cum_integram_o_functionalitate_in_codul_nostru	Documentația Linux pentru comenzi și funcții C, deschisă în terminal cu `man` (ex. `man scanf`, `man gcc`) sau găsită online (man7.org).	man;man pages;pagina de manual;paginile man;Linux man pages	man(1)
testarea codului din surse externe	2	bună practică	read-docs	read-docs#dezavantaje,read-docs#cum_integram_o_functionalitate_in_codul_nostru	Orice cod preluat din documentație sau de pe forumuri se testează mai întâi pe un exemplu simplu, înainte de a fi integrat în program.	testați orice cod;testăm această funcționalitate	
comportament nedefinit	2	noțiune	read-docs	read-docs#dezavantaje	Situație (ex. acces la memorie nealocată) în care standardul nu garantează rezultatul: programul poate părea că merge, se poate comporta ciudat sau se poate opri.	undefined behavior	
comentariu	1	noțiune	lab01	lab01#introducere,lab04#exemple_de_programe	Text ignorat de compilator, pentru cititorul uman: pe o linie după `//` sau pe mai multe linii între `/*` și `*/`; explică ce fac anumite părți ale codului.	comentarii;comentariile;comentariul	
bloc de instrucțiuni	2	noțiune	lab02	lab02#if-else,lab02#switch,lab02#for,lab01#introducere	Grup de instrucțiuni încadrat de acolade `{}` (ex. corpul unei funcții sau al unui if/for), executat ca un tot.	blocul de instrucțiuni;blocuri de instrucțiuni;acolade;acoladele	
